Authors,Title,Year,Journal,Abstract,Keywords,Publisher/Editorial,Language,Document Type,DOI,City of publication,TIPO SCOPUS/WOS
11,"Kim B.H.; Larson M.K.",Assessment of Floor Heave Associated with Bumps in a Longwall Mine Using the Discrete Element Method,2022,"Mining, Metallurgy and Exploration","This study was developed as part of an effort by the National Institute for Occupational Safety and Health (NIOSH) to better understand rock-mass behavior in longwall coal mines in highly stressed, bump-prone ground. The floor-heave and no-floor-heave phenomena at a western US coal mine could not be properly simulated in numerical models using conventional shear-dominant failure criteria (i.e., Mohr–Coulomb or Hoek–Brown failure criterion). The previous numerical study demonstrated these phenomena using a user-defined model of the s-shaped brittle failure criterion in conjunction with a spalling process in the FLAC3D numerical modeling software. The results of the FLAC3D modeling agreed with the observations of the relative amounts of heave from each gate-road system. However, the FLAC3D model adopted many assumptions and simplifications that were not very realistic from a physical or mechanical perspective. To overcome the limitations of the FLAC3D model, 3DEC modeling in conjunction with the discrete fracture network (DFN) technique was performed to better understand the true behavior of floor heave associated with underground mining in an anisotropic stress field. The effect of stress rotation in the mining-induced stress field was considered by using a different geometry of rock fractures in the coal seam. The heterogeneity of the engineering properties (i.e., cohesion and tensile strength) were also considered by using Monte Carlo simulations. Consequently, the 3DEC models using the DFN technique resulted in predictions of floor heave that agreed with observations of the relative amounts of heave from each gate-road system, but the cause of heave was mainly related to the degree of anisotropy instead of the size of the pillar. © 2022, This is a U.S. government work and not under copyright protection in the U.S.; foreign copyright protection may apply.","3DEC; Coal mine; Discrete fracture network (DFN); Floor heave",Springer Science and Business Media Deutschland GmbH,English,Article,10.1007/s42461-022-00596-y,United States,Scopus
12,"Lou P.; Sun L.; Pan C.; Ji P.; Liu H.",Experimental and discrete element method study on the mechanical properties of hole-fracture sandstone,2024,Frontiers in Materials,"To explore the interaction between holes and fractures in defective white sandstone, uniaxial compression tests were conducted on samples with varying horizontal distances between holes and fractures. The technique known as Digital Image Correlation (DIC) was employed to analyze the deformation patterns, while CT scanning technology was implemented to elucidate the interior crack propagation features. Discrete Element Method (DEM) simulations were performed to investigate the micro-scale fracture evolution. The findings demonstrate that load-bearing capacity and deformation resistance decreased as the horizontal hole-fracture distance increased. The failure mode transitioned from a mixed tensile-shear failure to a more rapid tensile failure. Tensile wing fractures caused by tensile failure reinforced the merging of rock bridges. Furthermore, the trajectories of fracture propagated from the outside to the inside of the rocks progressively simplify, resulting in accelerated instability and collapse. DEM simulations indicate that the augmentation of horizontal distance between holes and fractures influenced the displacement field and the orientation of micro-fractures inside the samples. The formation of micro-fractures progressively adhered to a “clusteringexpansion-coalescence” sequence along the paths of the hole-fracture structures. The maximum strength of the samples declined in a three-phase pattern: gradual decline, steep decline, and gradual decline. These findings provide valuable insights for engineering applications, such as tunnel excavation and mining operations. Copyright © 2025 Lou, Sun, Pan, Ji and Liu.","crack propagation; CT scanning; DIC; discrete element method; hole-fracture sandstone",Frontiers Media SA,English,Article,10.3389/fmats.2024.1535986,China,WoS
13,"Yang J.; Wang C.; Zhao Y.; Bi J.",Acoustic emission characteristics and damage evolution of basalt by microwave irradiation,2023,Scientific Reports,"The microwave-assisted rock breaking technology has been proven to be feasible, and has received considerable attention in the field of civil and mining engineering. A copper foil was used to wrap basalt to simulate rock excavation of practical application scenario in this paper. To this end, a multi-mode cavity with an operating frequency of 2.45 GHz was used to conduct microwave irradiation experiments on basalts with different irradiation times and different power. The thermal properties, AE characteristics, and damage evolution process of basalt were studied. The results show that the high heat generated by microwave leads to the development of cracks in the upper part of basalt. The higher the power level, the higher the degree of crack propagation in the sample, the lower the basalt strength, and the more active the AE activity. The fluctuation rule of the b value indicates that the basalt is dominated by small-scale microfractures before failure. High power levels or long irradiation time lead to more microwave-induced cracks participating in the failure process during loading. Compared with unheated basalt, microwave-heating basalt detects the characteristics of the precursor of failure in advance. The AE source location and the nephogram of the maximum principal stress of microwave-treated basalt reflected that the fracture path begins in the upper part of the rock. In addition, the combination of high power level and short irradiation time can achieve the purpose of energy saving. © 2023, The Author(s).",,Nature Research,English,Article,10.1038/s41598-023-30220-y,China,Scopus
14,"Liu H.; Zhao Z.; Ma Q.; Liu X.; Zhu L.",Degradation mechanism of microstructure of residual coal pillars during highly mineralized mine-water storage in coal mine goaf,2026,Underground Space (new),"Driven by the “dual carbon” strategy, the functionality of coal mine underground reservoirs is transitioning toward multimedia collaborative storage, such as CO2 geological sequestration and strategic energy reserves. The microscopic structures of the coal pillar dams, which are subjected to mining-induced damage and long-term infiltration erosion by highly mineralized mine water, continuously deteriorate over time, posing significant risks to the long-term safety and stability of the reservoirs. This study, based on the Lingxin Coal Mine Underground Reservoir Demonstration Project, employs a multi-technique characterization approach including X-ray diffraction (XRD), scanning electron microscope, nuclear magnetic resonance, and computed tomography to systematically reveal the multiscale collaborative erosion mechanisms of highly mineralized mine water on the mineral composition, crystal structure, and pore development of coal pillar dams. The results indicate: (1) significant concentration-dependent deterioration of mineral composition and crystal structure; kaolinite hydrolysis had a weakening effect on XRD peaks while quartz remained inert; (2) initiation of progressive microstructural damage at boundaries via dissolution/loosening; this damage advanced through layered mineral delamination and pore development (evidenced by NMR T2 broadening), resulting in irreversible void formation with chloride precipitation; (3) formation of pore-throat halite crystals, primarily due to chloride ions (Cl–); these crystals propagated microfractures through salt-expansion stress, establishing a cyclic dissolution–migration–crystallization–cracking process; (4) triggering of accelerated deterioration of the coal matrix owing to prolonged retention; this induced time- and concentration-dependent expansion and interconnection of pore-fracture networks, resulting in geomechanical deterioration. © 2025 Tongji University","Coal pillar dam; Degradation mechanism; Highly mineralized mine water; Microstructure; Underground storage",KeAi Communications Co.,English,Article,10.1016/j.undsp.2025.10.001,China,Scopus
15,"Zhang L.; Wang Y.; Gao M.; Jia W.; Xie S.; Hou W.; Wang X.; Zhang H.",Spatio-temporal evolution of pore and fracture structures in coal induced by initial damage and creep behavior: A real-time NMR-based approach,2024,International Journal of Mining Science and Technology,"Understanding the impact of mining disturbances and creep deformation on the macroscopic deformation and the microscopic pore and fracture structures (MPFS) of coal is paramount for ensuring the secure extraction of coal resources. This study conducts cyclic loading-unloading and creep experiments on coal using a low-field nuclear magnetic resonance (NMR) experimental apparatus which is equipped with mechanical loading units, enabling real-time monitoring the T2 spectrum. The experiments indicated that cyclic loading-unloading stress paths initiate internal damage within coal samples. Under identical creep stress conditions, coal samples with more initial damages had more substantial instantaneous deformation and creep deformation during the creep process. After undergoing nearly 35 h of staged creep, the total strains for coal samples CC01, CC02, and CC03 reach 2.160%, 2.261%, and 2.282%, respectively. In the creep stage, the peak area ratio of seepage pores and microfractures (SPM) gradually diminishes. A higher degree of initial damage leads to a more pronounced compaction trend in the SPM of coal samples. Considering the porosity evolution of SPM during the creep process, this study proposes a novel fractional derivative model for the porosity evolution of SPM. The efficacy of the proposed model in predicting porosity evolution of SPM is substantiated through experimental validation. Furthermore, an analysis of the impact mechanisms on key parameters in the model was carried out. © 2024","Coal; Creep behavior; Fractional porosity model of seepage pores and microfractures; Initial damage; Microscopic pore and fracture structures; Nuclear magnetic resonance",China University of Mining and Technology,English,Article,10.1016/j.ijmst.2024.09.003,China,Scopus
16,"Khan M.; He X.; Song D.; Li Z.; Tian X.",Predicting deformation kinetics and fractures propagation in coal-rock masses using acoustic emission testing,2025,International Journal of Coal Science and Technology,"The formation of coalesced fractures critically alters the mechanical properties of the surrounding virgin material, significantly changing the stress distribution and deformation behavior of the rock mass. However, understanding the generation mechanism and accurate prediction of rock fracture growth remain challenging in many engineering projects. Despite, wide range of conventional approaches including field investigations, laboratory-scale tests, and numerical modeling, the complex geological conditions hinder their accurate determination. This study introduces a new robust and cost-effective holistic geophysical approach to determine fractures propagation and predict failure in coal-rock masses at laboratory scale applicable across scales. The proposed approach combines rock mechanics and Acoustic Emission (AE) testing systems to make useful correlation between AE source parameters and deformation kinetics. This correlation analyzes the spatiotemporal distribution of AE events to elucidate the evolution of fracture patterns in coal-rock specimens from a complex mining project. Results showed dense and complex fracturing networks within coal specimens due to higher density, compaction, and mechanical strength compared to rock samples. This is indicated by peak acoustic events at 80%–100% load versus minimal events at 0–15% load. Simulated fracture patterns closely matched observed acoustic events, identifying key lineaments (macro-cracks) representing the transition from microcracks to macro-fractures. The convergence of these lineaments indicated intensely deformed zones prone to failure, consistent with previous field investigations. Acoustic parameters describing critical damage revealed an inverse relationship between stress and AE event magnitude. At roughly 70% σmax, a dramatic fall is seen in acoustic parameters indicated the shift from small-scale to large-scale microfractures, ultimately leading to catastrophic failure of the samples. Furthermore, Single Link Cluster (SLC) analysis demonstrated strong correlation among AE events, spatial correlation length (ξ) and information entropy (H). Both increased significantly at the onset of loading and fluctuated in proximity to ultimate failure. Using the micro-crack density criterion and 3D-crack growth theory, changes in above parameters verified the cracks transformation process. These findings showed that, the proposed approach compared with the conventional approaches, can improve disaster control and management plans, predict critical failures, and save lives in global mining projects when applied to field-scale studies. © The Author(s) 2025.","Acoustic emission; Fractures; Geophysical methods; Rock mechanics; Single link cluster (SLC)",Springer International Publishing,English,Article,10.1007/s40789-025-00768-3,China,Scopus
17,"Gai Q.; Huang L.; Liu S.; Fu Q.; Xu X.; Wang J.; Zhang X.; Chen C.; Zhang C.","Characteristics of Grouting-Induced Microfractures in Fractured Rock Masses: Numerical Simulation, Microseismic Monitoring, and Laboratory Tests",2025,Processes,"In deep mining engineering, grouting operations, although designed for reinforcement, inevitably induce microfracturing and associated microseismicity. Investigating the characteristics of grouting-induced microfractures in fractured rock masses is crucial for evaluating the grouting process and its effectiveness. Using the Wutongzhuang Mine as a case study, this paper first establishes mechanical criteria covering three stages—fracture filling, coupled permeation, and fracturing propagation—to analyze the process characteristics of grouting-induced microfractures. It reveals the mechanisms by which grouting pressure, in situ stress, and rock mass strength control fracture initiation and propagation. Furthermore, a grouting simulation method based on the Particle Flow Code (PFC) is proposed and summarized, constructing a “pipe-domain” fluid network considering fluid–solid coupling, thereby achieving a refined numerical reproduction of the entire grouting process. Addressing the complex geological conditions of the mine, three typical grouting modes are simulated and analyzed: grouting under conventional geological conditions, grouting under densely fractured conditions, and grouting near fault structures. The simulation results unveil their core influencing factors and behavioral characteristics: under conventional conditions, microfractures exhibit a “three-stage” evolution with the grouting process; under densely fractured conditions, the density of pre-existing fractures dominates the formation of complex fracture networks; and finally, fault structures guide fracture propagation, causing microfractures to cluster nearby. Subsequently, the development trends of microfractures under different grouting effects are clarified: after effective reinforcement, the rock mass strength increases, and the scope and quantity of fractures induced by subsequent grouting significantly decrease. The behavioral patterns under these different grouting modes are effectively validated through field microseismic monitoring, confirming the intrinsic relationship between the spatio-temporal evolution of grouting-induced microfractures and geological structures/grouting techniques. Finally, laboratory tests are conducted using a self-developed experimental apparatus, selecting grouting pressure, pore water pressure in the rock mass, and matrix grain size as variables. The mapping relationships between these variables and microseismic waveform characteristics, amplitude, etc., under different schemes are obtained, providing a basis for inverting the microfracturing process and evaluating grouting effectiveness. The research results provide multi-faceted references for characterizing the stability of fractured rock masses via microseismic monitoring and for optimizing grouting effectiveness. © 2025 by the authors.","fluid–solid coupling; grouting; laboratory test; microfracture; microseismic monitoring",Multidisciplinary Digital Publishing Institute (MDPI),English,Article,10.3390/pr13123768,China,WoS
18,"Lyu S.; Chen X.; Li R.; Wang S.; Liu J.; Shen P.",Microstructure Analysis on the Fracture Network in High-Rank Coals,2021,Earth and Space Science,"Microfractures in the coal matrix have complex spatial structure because of the joint effects of coalification and tectonism. The accurate modeling and characterization of microfractures directly affect mechanism analysis of coal rock fracturing and mining. In this study, taking the high-rank coal in the north of Qinshui Basin, structural characteristics of microfracture in intact and tectonic coals were analyzed systematically using 2D thin section, 3D micro-CT modeling and mercury intrusion based on digital image analysis and fractal theory. The result indicates that the response sensitivity of fractal parameters obtained from different methods to microfractures from two types of coal structures is different greatly. Single fractal dimension (Df) in tectonic coal is higher than that of intact coal. Specially, for 2D thin sections, the indicative effect on the Df of manually corrected images is better than that of automatically extracted and linear ones. Df has a positive correlation with the pixel-based microfracture porosity, as well as generalized fractal parameters. Moreover, microfracture permeability based on the Cubic-Law increases with the increase of Df. For 3D micro-CT modeling, the classical Watershed algorithm cannot segment the spatial microfracture network, which, however, can be segmented and characterized by the self-developed FracSC3D program. Spatial microstructural parameters including volume, surface and length at three-axis directions meet bifractal characteristics. Specially, for 2D micro-CT slices, with the increase of porosity, the multifractal spectrum width Δα also increased. Besides, the fractal parameter based on Menger model from mercury intrusion experiment can act as a good indicator for identifying microfractures, flow pores and diffusion pores. © 2021. The Authors. Earth and Space Science published by Wiley Periodicals LLC on behalf of American Geophysical Union.","complex fracture network; fractal and multifractal; high rank coal; mercury porosimetry; micro-CT; thin sections",John Wiley and Sons Inc,English,Article,10.1029/2021EA001780,China,Scopus
19,"XU S.-D.; CHEN T.-X.; LIU J.-Q.; ZHANG C.-R.",Exponential decay law of acoustic emission and microseismic activities caused by disturbances associated with multilevel loading and mining blast,2021,Transactions of Nonferrous Metals Society of China (English Edition),"To investigate decay law of acoustic emission and microseismic activities caused by disturbances associated with multilevel loading and mining blast, a new exponential decay (ED) law was proposed. The results show that the micro-fracture activity decay law after multistage stress loading and blasting disturbance conforms to the ED model, in which the sum of A and n represents the number of initial micro-fracture events, and n represents the level of background micro-fracture events. The ED model can describe the number of initial micro-fracture events with a deviation less than 10%. The ED model outperforms the traditional aftershock models in describing the micro-fracture event decay law in the three cases considered. The ED model can provide a reference for selecting the blasting interval in mines, which is of great significance to maintain the stability of the surrounding rock and ensure safe production in metal mines. © 2021 The Nonferrous Metals Society of China","acoustic emission; blast disturbance; exponential decay law; metal mine; microseismic activities",Nonferrous Metals Society of China,English,Article,10.1016/S1003-6326(21)65747-3,China,Scopus
20,"Khokhlov S.V.; Vinogradov Y.I.; Makkoev V.A.; Abiyev Z.A.",Effect of explosive detonation velocity on the degree of rock pre-fracturing during blasting,2024,Mining Science and Technology (Russian Federation),"At many quarries for the extraction of building stone there is a problem of increased output of fines after all stages of crushing and grinding, which leads to a decrease in the economic performance of mining enterprises. The fine fraction is formed by the crushing / grinding of prefractured rock mass. Reducing the intensity and size of the prefracture zones will lead to a solution to the problem at hand. To determine the effect of explosive detonation properties on the degree of structural weakening of a rock mass, studies were conducted to measure the detonation velocity, stresses generated by a blast in the rock mass, as well as laboratory studies of microfracturing by X-ray computer microtomography. The size of the prefracture zones increases from 33 to 77 charge radii with increasing the detonation velocity from 2 to 5.2 km/s. The dependence of the number of microdefects (microfractures) generated by a blast on the velocity of explosive detonation takes the form of an exponent for the near zone and is linear for the distances far from the blast. According to the data of the experiments conducted at short distances (10R), the density of induced microfracturing N is within ≈5 thousand pcs/cm3, and with increasing the detonation velocity it increases to ≈13.8 thousand pcs/cm3. At medium (40R) and long (70R) distances, N increases from ≈750 to ≈2,400 pcs/cm3 and from 0 to ≈200 pcs/cm3, respectively. Using explosives with a reduced detonation velocity allows reducing the “surplus” impact on a rock mass and thus reducing the intensity of prefracture in the zone of controlled crushing during a blast. The study allowed obtaining quantitative parameters of the intensity and size of the prefracture zones, which compose the supplement to findings of historical studies on qualitative determination of prefracture. © Khokhlov S. V., Vinogradov Yu. I., Makkoev V. A., Abiyev Z. A., 2024.","blast stresses; crushing to rubble; detonation velocity; fines yields; fracture density; microfracture; prefracture",National University of Science and Technology MISIS,English,Article,10.17073/2500-0632-2023-11-177,Russian Federation,Scopus
21,"Trippetta F.; Ruggieri R.; Motra H.B.",Temperature and pressure effects on the mechanical behavior of porous carbonates saturated by viscous fluids,2024,International Journal of Rock Mechanics and Mining Sciences,"Pressure, temperature, and infilling fluids influence the petrophysical properties and the associated damaging processes of rocks at all scales and at all depths. Moreover, each fluid-rock system possesses peculiar mechanical behavior, being this particularly complex in carbonate rocks. We focus on an outcropping carbonate-bearing reservoir (Majella, Central Italy), that represents a very good analogue for buried reservoirs. We performed hydrostatic and triaxial deformation tests up to a temperature of 100 °C and a confining pressure up to 100 MPa on both clean and naturally hydrocarbon-filled samples. Results show increasing seismic velocity and Young's modulus with increasing confining pressures for both clean and saturated samples. However, different results are observed when the temperature is increased. At low temperatures, saturated samples show larger seismic velocity and rigidity with respect to clean samples due to the solid state of the hydrocarbon at ambient conditions, whilst at higher temperatures the opposite occurs. When temperature is raised up to 100 °C the Young's modulus of the saturated samples decreases by ∼25 %, being coupled by a volume reduction of ∼1 cm3 even during hydrostatic tests (no differential stress applied). Accordingly, microstructural observations highlight crackle breccia and grain crushing microstructures with a large number (more than 30/100 μm) of randomly distributed cracks in saturated samples after both hydrostatic and triaxial tests. On the contrary, tested clean samples are characterized by few microfractures (less than 1/μm), pointing out the primary role played by melting hydrocarbons. Thus, the presence of melted hydrocarbons weakens the rock promoting fracturing, whilst at lower temperature the presence of solid hydrocarbons increases the mechanical properties of hydrocarbon-bearing rock. These observations have a large impact on the risk related to mining or porous carbonate reservoirs depletion and for understanding microscale to mesoscale mechanisms of deformation and viscous fluids movement along rock volumes. © 2024 The Authors","Carbonates; Collapse; Elastic properties; Reservoirs; Viscous fluids",Elsevier Ltd,English,Article,10.1016/j.ijrmms.2024.105938,Germany,WoS
22,"Wang Q.; Liang X.; Wang W.; Niu Q.; Zhuo J.; Su X.; Zhou G.; Zhao L.; Li P.; Yuan W.; Chang J.; Ji Z.; Su A.",Mineral Composition and Full-Scale Pore Structure of Qianjiadian Sandstone-Type Uranium Deposits: Application for In Situ Leaching Mining,2022,Geofluids,"In situ leaching (ISL) is becoming the main mining practice for sandstone-type uranium deposits in China. The key to ISL technology is to aid the leaching solution in contacting the ore bed over a large range, which will induce a series of chemical reactions to extract uranium; thus, it is essential to thoroughly understand the reservoir physical properties of uranium deposits. Taking the Qianjiadian sandstone-type uranium deposits (southern Songliao Basin, China) as an example, the mineral composition and pore structure of samples in different layers were measured using X-ray diffraction (XRD), thin section analysis (TSA), low-temperature N2 adsorption (LTN2A), and mercury intrusion porosimetry (MIP), and their influences on the ISL effect were analyzed. The results show that more than 65% of the minerals in the Qianjiadian uranium deposits are felsic minerals, and the carbonate minerals, clay minerals, and augite are auxiliary minerals. The primary intergranular pores, intergranular-dissolved pores, intragranular-dissolved pores, intercrystalline pores, and microfractures are developed in uranium deposits with various lithologies to different degrees. The macropores (>1000 nm) and mesopores (100-1000 nm) of medium sandstone, argillaceous sandstone, and siltstone are well developed; in contrast, the proportions of micropores (<10 nm) and transition pores (10-100 nm) in coarse sandstone, fine sandstone, and sandy mudstone are quite high. The heterogeneity of pores in uranium deposits of different lithologies is strong and influences the mineral composition and its fabric mode. Coarse sandstone, fine sandstone, and sandy mudstone are favorable for ISL mining in Qianjiadian uranium deposits because their permeability is above the required permeability threshold of ISL. The uranium deposits with permeability below the threshold are recommended to adopt the blasting-enhanced permeability method to improve their permeability for achieving large-scale and high-efficiency ISL mining. This study can provide guidance for the selection of favorable ore beds for ISL mining and reservoir stimulation methods in low-permeability sandstone-type uranium deposits.  © 2022 Qizhi Wang et al.",,Hindawi Limited,English,Article,10.1155/2022/2860737,China,WoS
23,"Wang K.; Wang L.; Ren B.; Fan H.",Study on Seepage Simulation of High Pressure Grouting in Microfractured Rock Mass,2021,Geofluids,"In coal mines, under high in situ stress and strong mining activity, roadway surrounding rock commonly contains large amounts of larger fractures and microfractures. Along with the large deformation and continuous rheology of the soft rock roadway, the fractures in the surrounding rock are likely to be compressed and closed, forming undeveloped microfractures, which hinder conventional grouting support methods. Based on the fluid-solid coupling between slurry seepage and microfracture deformation, a theoretical model of microfracture grouting seepage is established. A program for the analysis and calculation of microfracture grouting is developed to quantitatively describe the variation in slurry seepage distance and fracture opening. Numerical experiments are carried out to study the grouting seepage of microfractures under different grouting pressures and fracture opening conditions, and the variation rules for the spatial distribution of fracture opening and slurry seepage distance during grouting pressure are obtained. Fluid-solid coupling has a significant influence on grout seepage characteristics. The grouting pressure and the fracture opening changes are nonlinearly attenuated along the grout seepage direction. © 2021 Kai Wang et al.",,Hindawi Limited,English,Article,10.1155/2021/6696882,China,Scopus
24,"Rodríguez-Torres I.; Tuzcu E.T.; Reyes I.A.; Rosales-Marín G.",A quantitative study between HPGR and cone crusher aided ball mill grinding: mathematical modeling by evaluating the possible microfracture effect produced by HPGR technology and cone crusher,2024,Physicochemical Problems of Mineral Processing,"High Pressure Grinding Rolls (HPGR) have been used in the mining industry for decades. However, there are limited quantifications of the particle properties after comminution. Furthermore, the influence of microcracks in grinding provided by this technology has not been extensively quantified. In the recent work, there were two comminution paths tested: 1 (Jaw crusher + cone crusher + ball mill) and 2 (Jaw crusher + HPGR + ball mill). The possible weakening effect aiding ball mill grinding due to microcracks of HPGR path was shown via specific energy, fines generation and breakage rate measurements. To achieve a quantification about the impact of microcracks and the high rate of reduction rate of HPGR technology, first the product was reconstructed using Rosin Rammler's Weibull double formula and the similar particle size distribution was obtained by a conventional cone crusher. By this way the feed size distribution to the grinding stage remained constant regardless of the type of crushing process (HPGR or cone crusher). The results showed that the microfractures generated by the HPGR technology influence the specific energy consumption, fines generation and breakage rates. Ball mill after HPGR consumed 12.46 kWh/t of specific energy, however ball mill after cone crusher consumed 14.36 kWh/t of specific energy. The experimental methodology proposed in this paper maintains a consistent feed size range (-1500 to +41.31 μm) to show that the size reduction observed in the sample undergoing HPGR grinding is not the primary factor contributing to reduced energy consumption and increased fines generation. Instead, it is predominantly associated with the microfractures generated through the compression in HPGR technology; the energy reduction (optimization) of a grinding path is shown in the study. © (2024) Wroclaw University of Science and Technology","comminution; cone crusher; hight pressure grinding rolls; mathematical modeling; mineral processing",Oficyna Wydawnicza Politechniki Wroclawskiej,English,Article,10.37190/ppmp/177620,Mexico,WoS
25,"Tang R.-F.; Xie J.; Wang Y.-W.; Wang M.; Lv Y.-C.; Li X.-K.; Hu J.-H.; Wang M.-Y.",STUDY ON THE EVOLUTION LAW OF PHYSICAL PROPERTIES OF SOFT COAL SEAMS UNDER DIFFERENT WATER IMMERSION TIME,2021,Thermal Science,"Aiming at the problems of easy spalling and roof fall in the soft coal seam under the influence of strong deep mining, the 31020 working face of Pingdingshan No.12 coal mine is used as the engineering background, combined with nuclear magnetic resonance, etc. Various technical methods have carried out research on the water absorption characteristics, composition, micro-structure, and fracture morphology of coal at different immersion time. The experimental results show that the coal sample in this mining area belongs to coking coal under the bituminous coal category. The main inorganic substances are kaolinite and calcite. © 2021 Society of Thermal Engineers of Serbia Published by the Vinča Institute of Nuclear Sciences, Belgrade, Serbia. All Rights Reserved.",,Serbian Society of Heat Transfer Engineers,English,Article,10.2298/TSCI2106515T,China,WoS
26,"Jia W.; Zhou H.; Xie S.; Wang Y.; Hu X.; Zhang L.",Pore-pressure and stress-coupled creep behavior in deep coal: Insights from real-time NMR analysis,2024,International Journal of Mining Science and Technology,"Understanding the variations in microscopic pore-fracture structures (MPFS) during coal creep under pore pressure and stress coupling is crucial for coal mining and effective gas treatment. In this manuscript, a triaxial creep test on deep coal at various pore pressures using a test system that combines in-situ mechanical loading with real-time nuclear magnetic resonance (NMR) detection was conducted. Full-scale quantitative characterization, online real-time detection, and visualization of MPFS during coal creep influenced by pore pressure and stress coupling were performed using NMR and NMR imaging (NMRI) techniques. The results revealed that seepage pores and microfractures (SPM) undergo the most significant changes during coal creep, with creep failure gradually expanding from dense primary pore fractures. Pore pressure presence promotes MPFS development primarily by inhibiting SPM compression and encouraging adsorption pores (AP) to evolve into SPM. Coal enters the accelerated creep stage earlier at lower stress levels, resulting in more pronounced creep deformation. The connection between the micro and macro values was established, demonstrating that increased porosity at different pore pressures leads to a negative exponential decay of the viscosity coefficient. The Newton dashpot in the ideal viscoplastic body and the Burgers model was improved using NMR experimental results, and a creep model that considers pore pressure and stress coupling using variable-order fractional operators was developed. The model's reasonableness was confirmed using creep experimental data. The damage-state adjustment factors ω and β were identified through a parameter sensitivity analysis to characterize the effect of pore pressure and stress coupling on the creep damage characteristics (size and degree of difficulty) of coal. © 2023","Deep coal; Microscopic pore-fracture structure; Pore pressure-stress coupling; Real-time monitoring; Variable-order fractional creep model",China University of Mining and Technology,English,Article,10.1016/j.ijmst.2023.12.001,China,WoS
27,"Yang S.; Xu Y.; Guo F.; Xiang Z.; Zhao H.",A Material–Structure Integrated Approach for Soft Rock Roadway Support: From Microscopic Modification to Macroscopic Stability,2026,Processes,"As a cornerstone of China’s energy infrastructure, the coal mining industry relies heavily on the stability of its underground roadways, where the support of soft rock formations presents a critical and persistent technological challenge. This challenge arises primarily from the high content of expansive clay minerals and well-developed micro-fractures within soft rock, which collectively undermine the effectiveness of conventional support methods. To address the soft rock control problem in China’s Longdong Mining Area, an integrated material–structure control approach is developed and validated in this study. Based on the engineering context of the 3205 material gateway in Xin’an Coal Mine, the research employs a combined methodology of micro-mesoscopic characterization (SEM, XRD), theoretical analysis, and field testing. The results identify the intrinsic instability mechanism, which stems from micron-scale fractures (0.89–20.41 μm) and a high clay mineral content (kaolinite and illite totaling 58.1%) that promote water infiltration, swelling, and strength degradation. In response, a novel synergistic technology was developed, featuring a high-performance grouting material modified with redispersible latex powder and a tiered thick anchoring system. This technology achieves microscale fracture sealing and self-stress cementation while constructing a continuous macroscopic load-bearing structure. Field verification confirms its superior performance: roof subsidence and rib convergence in the test section were reduced to approximately 10 mm and 52 mm, respectively, with grouting effectively sealing fractures to depths of 1.71–3.92 m, as validated by multi-parameter monitoring. By integrating microscale material modification with macroscale structural optimization, this study provides a systematic and replicable solution for enhancing the stability of soft rock roadways under demanding geo-environmental conditions. Soft rock roadways, due to their characteristics of being rich in expansive clay minerals and having well-developed microfractures, make traditional support difficult to ensure roadway stability, so there is an urgent need to develop new active control technologies. This paper takes the 3205 Material Drift in Xin’an Coal Mine as the engineering background and adopts an integrated method combining micro-mesoscopic experiments, theoretical analysis, and field tests. The soft rock instability mechanism is revealed through micro-mesoscopic experiments; a high-performance grouting material added with redispersible latex powder is developed, and a “material–structure” synergistic tiered thick anchoring reinforced load-bearing technology is proposed; the technical effectiveness is verified through roadway surface displacement monitoring, anchor cable axial force monitoring, and borehole televiewer. The study found that micron-scale fractures of 0.89–20.41 μm develop inside the soft rock, and the total content of kaolinite and illite reaches 58.1%, which is the intrinsic root cause of macroscopic instability. In the test area of the new support scheme, the roof subsidence is about 10 mm and the rib convergence is about 52 mm, which are significantly reduced compared with traditional support; grouting effectively seals rock mass fractures in the range of 1.71–3.92 m. This synergistic control technology achieves systematic control from micro-mesoscopic improvement to macroscopic stability by actively modifying the surrounding rock and optimizing the support structure, significantly improving the stability of soft rock roadways. © 2026 by the authors.","grouting reinforcement; soft rock roadway; structural optimization; synergistic control",Multidisciplinary Digital Publishing Institute (MDPI),English,Article,10.3390/pr14030414,China,Scopus
